Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,QED,QED (raw),SAScore,SAScore (raw),MW_endpoint,MW_endpoint (raw),step
9.2308,7.4497,80.3676,0.7318106,CC(=O)NC(c1cc(C(C)C)ccc1C(C)C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C(C)C|C(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5998761,0.5999,0.6533329,3.0573,1.0000000,393.4830,1
1.7747,1.5057,98.6302,0.8344656,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.7184995,0.7185,0.8087212,2.8117,1.0000000,337.3750,1
20.6193,20.9910,21.8879,0.3573242,CC(=O)NC(c1cc(N2CCC(N3C(=O)c4ccccc4C3=O)CC2)ccc1C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C|*N1CCC(N2C(=O)c3c(cccc3)C2=O)CC1,O=C1c2ccccc2C(=O)N1C1CCN(c2cccc(Cc3cc4ccccc4oc3=O)c2)CC1,0.2803706,0.2804,0.5025496,3.2469,0.3237993,551.5990,1
1.6041,1.5837,-1.5837,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,2,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C|C*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.7185,0.0000000,2.8117,0.0000000,337.3750,1
10.0146,10.0741,81.8135,0.7657294,CC(=O)NC(c1cc(CC#N)ccc1C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C|N#CC*,O=c1oc2ccccc2cc1Cc1ccccc1,0.6942721,0.6943,0.6466901,3.0662,1.0000000,362.3850,1
7.9711,8.0917,86.6609,0.7896047,CC(=O)NC(c1cc(N(C)C)ccc1C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*C|N(*)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.6935147,0.6935,0.7098612,2.9780,1.0000000,366.4170,1
6.8418,6.7817,79.4764,0.7188177,CC(=O)NC(c1cc(C)ccc1N)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,*N|C*,O=c1oc2ccccc2cc1Cc1ccccc1,0.5027231,0.5027,0.7388010,2.9339,1.0000000,338.3630,1
1.7160,1.5208,-1.5208,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,2,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,C*|*C,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.7185,0.0000000,2.8117,0.0000000,337.3750,1
1.6225,1.5780,-1.5780,0.0000000,CC(=O)NC(c1cc(C)ccc1C)c1c(O)c2ccccc2oc1=O,2,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,C*|C*,O=c1oc2ccccc2cc1Cc1ccccc1,0.0000000,0.7185,0.0000000,2.8117,0.0000000,337.3750,1
7.5226,6.9401,75.2796,0.6851648,CC(=O)NC(c1cc(C(C)(C)C)ccc1C(C)(C)C)c1c(O)c2ccccc2oc1=O,1,O=C(C)NC(c1c(O)c2c(oc1=O)cccc2)c1c([*])ccc([*])c1,CC(C)(*)C|*C(C)(C)C,O=c1oc2ccccc2cc1Cc1ccccc1,0.5611444,0.5611,0.5732056,3.1603,1.0000000,421.5370,1
