canonical_smiles,is_coumarin,CYP2C9_pXC50,Factor_XIIa_pXC50,Factor_Xa_pXC50,HSA_pXC50,Thrombin_pXC50,VKORC1_pXC50
Bc1ccc(F)c2c1CC[C@H]2Nc1ccc([C@H]2C[C@@H]2C(=O)O)nc1,False,4.301029995663981,,,,,
Br.CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,False,,,11.3767507096021,,10.670331794767156,
Br.CCOC(=O)C(CC)(CCC(=O)OC)c1csc(Nc2ccccc2O)n1,False,,,,,4.301029995663981,
Br.CN(C)Cc1cc2c([nH]c(=O)c3cccc(O)c32)s1,False,3.6989700043360174,,,,,
Br.COc1ccc(C2=CSC3=NCCN23)cc1F,False,,4.301029995663981,,,,
Br.Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(F)cc(-c2ccncc2)cc1F,False,5.346787486224656,,,,,
Brc1c(C[n+]2ccccc2)nc2ccccn12.[Br-],False,,4.301029995663981,,,,
Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,False,4.724519123850912,,,,,
Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,False,5.0,,,,,
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,False,5.366531544420414,,,,,
Brc1cccc(/C=N/Nc2nn[nH]n2)c1,False,,4.301029995663981,,,,
C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,False,4.769551078621726,,,,,
C#CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4cc(C)c5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(C)cc2)n1,False,5.577450979992872,,,,,
C#CC1(N(COP(=O)([O-])[O-])C(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1.[Na+].[Na+],False,4.0,,,,,
C#CC1(NC(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1,False,4.301029995663981,,,,,
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,False,,,7.853871964321762,,,
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,False,,,7.721246399047171,,,
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,False,4.301029995663981,,,,,
C#CCNc1cc(C)nc2ncnn12,False,,,,,4.301029995663981,
C#CCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,False,,,,,5.522878745280337,
C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,False,,4.95825686218734,,,,
C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)Cn3cc(CC(C)O)nn3)CC2)nc(N2CCN(C(=O)[C@H](C)n3cc(CCCN=C(N)N)nn3)CC2)n1.Cl,False,,,,,5.167224205939433,
C#CCO[C@@H]1C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,False,,,4.489800954644382,,,
C#CCOc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,False,4.301029995663981,,,,,
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,False,4.6020599913279625,,,,,
C#CCOc1nc(Nc2cccc([N+](=O)[O-])c2)nc(OCC#C)n1,False,,4.301029995663981,,,,
C#CCSc1nncn1C(=O)/C=C/c1ccccc1,False,,,,,6.532288327162454,
C#CC[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1.O=C([O-])C(F)(F)F,False,,,7.119186407719209,,,
C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1(C)CCN(c2cc(C(=O)O)ccn2)CC1,False,4.522878745280337,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,False,6.182258126592544,,,,,
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,False,4.823908740944319,,,,,
C#Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,False,,,5.537602002101044,,5.327902142064283,
C#Cc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,False,,,4.815308569182401,,5.055517327849831,
C#Cc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,False,,,5.585026652029182,,5.022276394711152,
C#Cc1ccc(-c2cc(Cn3c(C(=O)NC4CCN(C(C)C)CC4)cc4ccccc43)no2)s1,False,,,7.886056647693163,,,
C#Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,8.089375595110798,,7.298950369270861,
C#Cc1ccc(C(=O)NCC(C(=O)Nc2ccc(N3CCOCC3=O)c(C)c2)C(F)(F)F)s1,False,,,7.318758762624412,,,
C#Cc1ccc(C2(c3ccccc3)NC(=O)NC2=O)cc1,False,4.7447274948966935,,,,,
C#Cc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,False,,,7.309803919971486,,,
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)cc1,False,,,9.045757490560677,,,
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)nc1,False,,,9.096910013008056,,,
C#Cc1ccc(NC(=O)c2cc(OC)ccc2NC(=O)c2nc3c(s2)CN(C)CC3)cc1,False,,,7.698970004336019,,,
C#Cc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,False,,,9.30102999566398,,,
C#Cc1ccc(S(=O)(=O)NC(=O)NCC(C)C)cc1,False,4.318758762624412,,,,,
C#Cc1ccc(S(=O)(=O)NC(=O)NCCCC)cc1,False,4.7447274948966935,,,,,
C#Cc1ccc(S(=O)(=O)NC(=O)NCc2ccccc2)cc1,False,4.6020599913279625,,,,,
C#Cc1ccc(S(=O)(=O)NC(=O)Nc2ccccc2)cc1,False,5.154901959985743,,,,,
C#Cc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,False,5.522878745280337,,,,,
C#Cc1ccc2c(=O)c(C(C(C)=O)c3ccccc3)c(O)oc2c1,False,5.958607314841775,,,,,
C#Cc1ccc2oc(O)c(C(C(C)=O)c3ccccc3)c(=O)c2c1,False,5.823908740944319,,,,,
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,False,5.0,,,,,
C#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)CCC)c3F)c2c1,False,5.301029995663981,,,,,
C(=C\CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)/CNC1CCOCC1,False,5.301029995663981,,,,,
C(=C\CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)/CNCC1CCOCC1,False,5.301029995663981,,,,,
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,False,,,6.055517327849832,,,
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2nc(N)nc(N)c2c1,False,,,4.958607314841775,,,
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ncnc(N)c2c1,False,,,6.568636235841013,,,
C/C(=C(\CC(=O)O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,False,,,6.6307841425898575,,,
C/C(=C(\CC(N)=O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,False,,,7.00436480540245,,5.795880017344075,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C#N)cc1)c1ccc2ccnc(N)c2c1,False,,,6.721246399047171,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C(N)=O)cc1)c1ccc2ccnc(N)c2c1,False,,,6.657577319177793,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(Cl)ccc1C#N,False,,,5.022276394711152,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(N)ccc1[N+](=O)[O-],False,,,6.6020599913279625,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc(F)c(C(=N)N)c1,False,,,8.443697499232712,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2[nH]nc(N)c2c1,False,,,5.228412519118745,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,False,,,7.853871964321762,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,False,,,9.0,,5.496209316942819,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N2CCC2)c1,False,,,6.050609993355087,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NC#N)c1,False,,,6.596879478824183,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NC2CC2)c1,False,,,5.79317412396815,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NN(C)C)c1,False,,,6.309803919971486,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NNCC(F)(F)F)c1,False,,,6.376750709602099,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NNc2ccccc2)c1,False,,,6.1249387366083,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NO)c1,False,,,6.356547323513812,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(N)=O)c1,False,,,6.036212172654444,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(CN)c1,False,,,5.886056647693163,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(N)c1,False,,,4.958607314841775,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(NN)c1,False,,,4.958607314841775,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1N,False,,,4.958607314841775,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1[N+](=O)[O-],False,,,5.537602002101044,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc(F)c(C(=N)N)c1,False,,,9.1249387366083,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc2ccnc(N)c2c1,False,,,8.520479303839453,,5.318758762624412,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)N)c1,False,,,9.30102999566398,,6.298432014944073,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NN)c1,False,,,7.244125144327507,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1,False,,,5.928117992693875,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1C(N)=O)c1ccc2ccnc(N)c2c1,False,,,5.958607314841775,,,
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc(F)c(C(=N)N)c1,False,,,9.43774788758286,,,
