SMILES,Pred_VKORC1_pXC50,Pred_FXIIa_pXC50,Pred_FXa_pXC50,Pred_Thrombin_pXC50,Pred_CYP2C9_pXC50,Pred_HSA_pXC50
CC(=O)NC(c1cc(N2CCCCC2C)ccc1CCN1CCN(C2CCCCC2)CC1)c1c(O)c2ccccc2oc1=O,6.855,6.056,5.852,6.166,4.59,-1.72
CC(=O)NC(c1cc(CCCN2CCCCC2)ccc1CC1CCCCCN1C)c1c(O)c2ccccc2oc1=O,6.788,6.0,5.797,6.111,4.552,-1.701
CCCN1CCC(Cc2ccc(CCN3CCOCC3)cc2C(NC(C)=O)c2c(O)c3ccccc3oc2=O)CC1,6.717,5.939,5.791,6.071,4.536,-1.717
CC(=O)NC(c1cc(CC2CCCN(C)C2)ccc1CCN1CCN(C)CC1)c1c(O)c2ccccc2oc1=O,6.671,5.898,5.812,6.054,4.537,-1.744
CCC(Cc1ccc(C2CCCC2)c(C(NC(C)=O)c2c(O)c3ccccc3oc2=O)c1)N1CCCCCCC1,6.663,5.89,5.839,6.06,4.548,-1.764
CC(=O)NC(c1cc(C2CCOCC2)ccc1CC1CCCCN1C1CCC1)c1c(O)c2ccccc2oc1=O,6.638,5.867,5.852,6.051,4.549,-1.78
CC(=O)NC(c1cc(CC2CCCCCO2)ccc1CCN1CCCCC1)c1c(O)c2ccccc2oc1=O,6.626,5.857,5.84,6.041,4.542,-1.775
CC(=O)NC(c1cc(N2CCCCCCC2)ccc1CCCN1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.615,5.846,5.914,6.063,4.574,-1.828
CCN1CCC(c2ccc(CC3CCCCCC3)cc2C(NC(C)=O)c2c(O)c3ccccc3oc2=O)CC1,6.555,5.795,5.858,6.01,4.537,-1.807
CC(=O)NC(c1cc(C#CC2(O)CCCCC2)ccc1N1CCC(N2CCCCC2)CC1)c1c(O)c2ccccc2oc1=O,6.547,5.783,6.031,6.071,4.615,-1.926
CC(=O)NC(c1cc(C2CCN(C)CC2)ccc1CC1CCCC(C)CC1)c1c(O)c2ccccc2oc1=O,6.544,5.786,5.866,6.007,4.538,-1.815
CCN1CCC(c2ccc(CC3CCN(C)CC3)cc2C(NC(C)=O)c2c(O)c3ccccc3oc2=O)CC1,6.525,5.769,5.857,5.994,4.531,-1.815
CC(=O)NC(c1cc(CC2CCN(C)CC2)ccc1CC1CCCCC1)c1c(O)c2ccccc2oc1=O,6.521,5.765,5.853,5.99,4.528,-1.812
CC(=O)NC(c1cc(N2CCCC(N3CCCCC3)C2)ccc1N1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.517,5.757,6.009,6.047,4.599,-1.919
CC(=O)NC(c1cc(CCN2CCCCCC2)ccc1C1CCCCC1)c1c(O)c2ccccc2oc1=O,6.496,5.742,5.891,5.991,4.54,-1.845
CC(=O)NC(c1cc(CCN2CCC(C)CC2)ccc1C1CCCCC1)c1c(O)c2ccccc2oc1=O,6.492,5.739,5.89,5.988,4.539,-1.845
CC(=O)NC(c1cc(C2CCCCC2)ccc1CCN1CCCCC1C)c1c(O)c2ccccc2oc1=O,6.489,5.736,5.897,5.989,4.542,-1.851
CC(=O)NC(c1cc(C2CCCCCCC2)ccc1CC1CCCCC1)c1c(O)c2ccccc2oc1=O,6.484,5.733,5.891,5.985,4.538,-1.848
CC(=O)NC(c1cc(CCCN2CCCC(C)C2)ccc1N1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.476,5.723,5.957,6.005,4.567,-1.896
CC(=O)NC(c1cc(N2CCN(C)C2)ccc1NCC12CC3CC(CC(C3)C1)C2)c1c(O)c2ccccc2oc1=O,6.465,5.712,6.019,6.023,4.594,-1.94
CC(=O)NC(c1cc(C2CCCNCC2)ccc1CC1CCCCCN1)c1c(O)c2ccccc2oc1=O,6.463,5.714,5.895,5.975,4.536,-1.857
CC(=O)NC(c1cc(C(N)C2CCCCC2)ccc1C1CCN(C)CC1)c1c(O)c2ccccc2oc1=O,6.462,5.714,5.885,5.971,4.531,-1.85
CCC1CCCN(CCc2ccc(CC(C)N)c(C(NC(C)=O)c3c(O)c4ccccc4oc3=O)c2)CC1,6.458,5.711,5.85,5.955,4.514,-1.828
CC(=O)NC(c1cc(C2CCCCC2)ccc1C1CCCCCCCC1)c1c(O)c2ccccc2oc1=O,6.429,5.683,5.92,5.966,4.541,-1.883
CC(=O)NC(c1cc(CC2CN(C)CCN2C)ccc1N1CCCN(C)CC1)c1c(O)c2ccccc2oc1=O,6.417,5.673,5.949,5.971,4.553,-1.907
CCCN1CCCCC(Cc2ccc(C(C)C)c(C(NC(C)=O)c3c(O)c4ccccc4oc3=O)c2)CC1,6.411,5.669,5.886,5.944,4.522,-1.865
CC(=O)NC(c1cc(C2CCCCCCC2)ccc1C1CCCN(C)C1)c1c(O)c2ccccc2oc1=O,6.411,5.669,5.92,5.957,4.538,-1.889
CC(=O)NC(c1cc(CCN2CCCCCC2)ccc1C1CCCC1)c1c(O)c2ccccc2oc1=O,6.402,5.66,5.916,5.95,4.534,-1.888
CC(=O)NC(c1cc(CCN2CCCC2)ccc1C1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.402,5.66,5.916,5.95,4.534,-1.888
CC(=O)NC(c1cc(C2CCCCN(C)CC2)ccc1C1CCCCC1)c1c(O)c2ccccc2oc1=O,6.4,5.659,5.919,5.951,4.536,-1.891
CCCCc1ccc(CCCN2CCCCCC2)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,6.4,5.66,5.879,5.936,4.517,-1.863
CC(=O)NC(c1cc(CCN2CCC(C)CC2)ccc1C1CCCC1)c1c(O)c2ccccc2oc1=O,6.398,5.656,5.915,5.948,4.533,-1.888
CC(=O)NC(c1cc(CC2CCCCCC2)ccc1N1CCCCC(C)C1)c1c(O)c2ccccc2oc1=O,6.392,5.65,5.975,5.968,4.56,-1.931
CC(=O)NC(c1cc(C2CCCCC2)ccc1CC1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.39,5.65,5.917,5.945,4.532,-1.891
CC(=O)NC(c1cc(CCN2CCC(C)CC2)ccc1N1CCCCC1C)c1c(O)c2ccccc2oc1=O,6.375,5.635,5.978,5.96,4.558,-1.938
CC(=O)NC(c1cc(N2CCN(C)CC2)ccc1N1CCN(CC(=O)N2CCCCC2)CC1)c1c(O)c2ccccc2oc1=O,6.367,5.631,5.895,5.925,4.518,-1.885
CCN1CCCC(Cc2ccc(N3CCCCCC3)c(C(NC(C)=O)c3c(O)c4ccccc4oc3=O)c2)C1,6.363,5.624,5.975,5.952,4.555,-1.939
CC(=O)NC(c1cc(C2CCN(C)CC2)ccc1CC1CCCCC1)c1c(O)c2ccccc2oc1=O,6.362,5.626,5.916,5.93,4.527,-1.899
CC(=O)NC(c1cc(N2CCCCCCC2C)ccc1C1CCCN(C)C1)c1c(O)c2ccccc2oc1=O,6.36,5.622,5.98,5.952,4.556,-1.943
CC(=O)NC(c1cc(N2CCOCC2)ccc1C12CC3CC(CC(C3)C1)C2)c1c(O)c2ccccc2oc1=O,6.344,5.606,6.017,5.958,4.57,-1.972
CC(=O)NC(c1cc(OC2(C)C3CC4=CC=C(O)C=CC(C4)(CC3(C)C)C2(C)C)ccc1N1CCOCC1)c1c(O)c2ccccc2oc1=O,6.339,5.61,5.809,5.877,4.472,-1.835
CC(=O)NC(c1cc(N2CCCCCCC2)ccc1C1CCCCCO1)c1c(O)c2ccccc2oc1=O,6.333,5.597,6.001,5.946,4.561,-1.964
CC(=O)NC(c1cc(C2CCCCCCC2)ccc1C1CCCCC1)c1c(O)c2ccccc2oc1=O,6.333,5.599,5.946,5.926,4.535,-1.927
CC(=O)NC(c1cc(CCN2CCOCC2)ccc1N1CCCCC(C)C1)c1c(O)c2ccccc2oc1=O,6.332,5.598,5.978,5.937,4.55,-1.95
CCN(CC)C1CCN(c2ccc(N3CCN(C)CC3)c(C(NC(C)=O)c3c(O)c4ccccc4oc3=O)c2)CC1,6.332,5.597,6.021,5.953,4.57,-1.978
CC(=O)NC(c1cc(N2CCN(C)CC2)ccc1N1CCC(N2CCCC2)C1)c1c(O)c2ccccc2oc1=O,6.326,5.589,6.061,5.965,4.587,-2.007
CC(=O)NC(c1cc(C2CCCCO2)ccc1C1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.318,5.586,5.93,5.911,4.525,-1.92
CCCc1ccc(CC(C)N2CCCCCC2)cc1C(NC(C)=O)c1c(O)c2ccccc2oc1=O,6.318,5.587,5.903,5.901,4.512,-1.902
CC(=O)NC(c1cc(CC2CCCCC2)ccc1NC1CCCCCC1)c1c(O)c2ccccc2oc1=O,6.318,5.585,5.988,5.933,4.552,-1.96
