ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds
RL_Gen_37,VKORC1_Human,-12.244,"[np.float64(-12.244), np.float64(-11.409), np.float64(-11.094), np.float64(-10.474), np.float64(-10.399), np.float64(-9.947), np.float64(-9.707), np.float64(-9.661), np.float64(-9.591)]",results/docked_poses/VKORC1_Human/RL_Gen_37_VKORC1_Human_docked.pdbqt,True,,23.956362009048465
p_nitro_R,VKORC1_Human,-12.123,"[-12.123, -11.086, -10.962, -10.93, -10.372, -10.24, -10.078, -9.871, -9.83]",results/docked_poses/VKORC1_Human/p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.999984741210938
p_nitro_S,VKORC1_Human,-11.768,"[-11.768, -11.587, -11.336, -10.395, -10.276, -10.116, -10.05, -9.891, -9.334]",results/docked_poses/VKORC1_Human/p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.515265464782715
RL_Gen_22,VKORC1_Human,-11.545,"[np.float64(-11.545), np.float64(-11.464), np.float64(-11.129), np.float64(-10.253), np.float64(-10.235), np.float64(-10.228), np.float64(-10.148), np.float64(-10.035), np.float64(-9.902), np.float64(-9.771), np.float64(-9.733), np.float64(-9.674), np.float64(-9.672), np.float64(-9.518), np.float64(-9.478), np.float64(-9.374), np.float64(-9.352), np.float64(-9.24), np.float64(-8.671)]",results/docked_poses/VKORC1_Human/RL_Gen_22_VKORC1_Human_docked.pdbqt,True,,40.33030438423157
m_nitro_S,VKORC1_Human,-11.505,"[-11.505, -10.865, -10.681, -10.063, -9.926, -9.672, -9.602, -9.5, -9.41]",results/docked_poses/VKORC1_Human/m_nitro_S_VKORC1_Human_docked.pdbqt,True,,31.13282871246338
dimethoxy_23_S,VKORC1_Human,-11.49,"[-11.49, -10.679, -10.18, -9.992, -9.835, -9.666, -9.639, -9.373, -9.252]",results/docked_poses/VKORC1_Human/dimethoxy_23_S_VKORC1_Human_docked.pdbqt,True,,30.601485013961792
RL_Gen_29_isoA,VKORC1_Human,-11.419,"[np.float64(-11.419), np.float64(-10.69), np.float64(-10.505), np.float64(-10.503), np.float64(-10.402), np.float64(-10.086), np.float64(-10.042), np.float64(-9.999), np.float64(-9.836), np.float64(-9.753), np.float64(-9.661), np.float64(-9.487), np.float64(-9.481), np.float64(-9.409), np.float64(-9.389), np.float64(-9.358), np.float64(-9.32), np.float64(-9.114), np.float64(-8.993), np.float64(-8.918)]",results/docked_poses/VKORC1_Human/RL_Gen_29_isoA_VKORC1_Human_docked.pdbqt,True,,38.14039421081543
RL_Gen_45,VKORC1_Human,-11.395,"[np.float64(-11.395), np.float64(-10.891), np.float64(-10.741), np.float64(-9.977), np.float64(-9.928), np.float64(-9.612), np.float64(-9.565), np.float64(-9.52), np.float64(-9.514), np.float64(-9.46), np.float64(-9.42), np.float64(-9.395), np.float64(-9.135), np.float64(-9.098), np.float64(-8.983), np.float64(-8.885), np.float64(-8.838), np.float64(-8.815), np.float64(-8.794), np.float64(-8.696)]",results/docked_poses/VKORC1_Human/RL_Gen_45_VKORC1_Human_docked.pdbqt,True,,76.2542724609375
m_bromo_R,VKORC1_Human,-11.373,"[-11.373, -11.005, -10.403, -10.319, -10.176, -9.839, -9.646, -9.61, -9.418]",results/docked_poses/VKORC1_Human/m_bromo_R_VKORC1_Human_docked.pdbqt,True,,22.07072877883911
m_nitro_R,VKORC1_Human,-11.314,"[-11.314, -11.071, -10.953, -10.798, -10.752, -10.113, -10.07, -10.067, -9.87]",results/docked_poses/VKORC1_Human/m_nitro_R_VKORC1_Human_docked.pdbqt,True,,26.60459589958191
R_Warfarin_ref,VKORC1_Human,-11.294,"[-11.294, -10.229, -10.02, -9.969, -9.749, -9.553, -9.545, -9.483, -9.417]",results/docked_poses/VKORC1_Human/R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,21.495741605758667
RL_Gen_49,VKORC1_Human,-11.239,"[np.float64(-11.239), np.float64(-11.222), np.float64(-10.869), np.float64(-10.854), np.float64(-9.952), np.float64(-9.916), np.float64(-9.602), np.float64(-8.952), np.float64(-8.604), np.float64(-8.36), np.float64(-8.315)]",results/docked_poses/VKORC1_Human/RL_Gen_49_VKORC1_Human_docked.pdbqt,True,,26.892582416534424
BENZ_R,VKORC1_Human,-11.231,"[-11.231, -10.345, -10.238, -10.051, -9.792, -9.591, -9.529, -9.266, -9.035]",results/docked_poses/VKORC1_Human/BENZ_R_VKORC1_Human_docked.pdbqt,True,,22.84701657295227
dimethoxy_23_R,VKORC1_Human,-11.117,"[-11.117, -10.488, -10.13, -10.106, -9.417, -9.337, -9.263, -8.998, -8.907]",results/docked_poses/VKORC1_Human/dimethoxy_23_R_VKORC1_Human_docked.pdbqt,True,,30.536410808563232
RL_Gen_29_isoB,VKORC1_Human,-11.069,"[np.float64(-11.069), np.float64(-10.47), np.float64(-10.086), np.float64(-10.014), np.float64(-9.995), np.float64(-9.741), np.float64(-9.622), np.float64(-9.539), np.float64(-9.506), np.float64(-9.47), np.float64(-9.325), np.float64(-9.266), np.float64(-9.242), np.float64(-8.989), np.float64(-8.955), np.float64(-8.955), np.float64(-8.896), np.float64(-8.712), np.float64(-8.651), np.float64(-8.494)]",results/docked_poses/VKORC1_Human/RL_Gen_29_isoB_VKORC1_Human_docked.pdbqt,True,,38.56108236312866
m_bromo_S,VKORC1_Human,-11.03,"[-11.03, -10.782, -10.752, -9.99, -9.975, -9.898, -9.715, -9.621, -9.334]",results/docked_poses/VKORC1_Human/m_bromo_S_VKORC1_Human_docked.pdbqt,True,,24.85643434524536
RL_Gen_29,VKORC1_Human,-10.969,"[np.float64(-10.969), np.float64(-10.557), np.float64(-10.381), np.float64(-10.165), np.float64(-9.973), np.float64(-9.856), np.float64(-9.836), np.float64(-9.702), np.float64(-9.338), np.float64(-9.308), np.float64(-9.217), np.float64(-9.201), np.float64(-9.036), np.float64(-8.953), np.float64(-8.942), np.float64(-8.85), np.float64(-8.835), np.float64(-8.758), np.float64(-8.674), np.float64(-8.62)]",results/docked_poses/VKORC1_Human/RL_Gen_29_VKORC1_Human_docked.pdbqt,True,,27.82236862182617
S_Warfarin_ref,VKORC1_Human,-10.924,"[-10.924, -10.654, -10.072, -9.896, -9.84, -9.664, -9.353, -9.345, -9.31]",results/docked_poses/VKORC1_Human/S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,23.72379183769226
RL_Gen_07,VKORC1_Human,-10.921,"[np.float64(-10.921), np.float64(-10.75), np.float64(-10.531), np.float64(-10.317), np.float64(-9.805), np.float64(-9.695), np.float64(-9.414), np.float64(-9.172), np.float64(-9.154), np.float64(-9.131), np.float64(-9.019), np.float64(-8.941), np.float64(-8.929), np.float64(-8.584), np.float64(-8.396), np.float64(-8.228)]",results/docked_poses/VKORC1_Human/RL_Gen_07_VKORC1_Human_docked.pdbqt,True,,17.479965448379517
RL_Gen_26,VKORC1_Human,-10.902,"[np.float64(-10.902), np.float64(-10.333), np.float64(-9.971), np.float64(-9.896), np.float64(-9.698), np.float64(-9.294), np.float64(-9.088), np.float64(-8.852), np.float64(-8.588), np.float64(-8.344), np.float64(-7.959)]",results/docked_poses/VKORC1_Human/RL_Gen_26_VKORC1_Human_docked.pdbqt,True,,16.193256616592407
RL_Gen_39,VKORC1_Human,-10.823,"[np.float64(-10.823), np.float64(-10.66), np.float64(-10.347), np.float64(-10.13), np.float64(-10.017), np.float64(-9.708), np.float64(-9.696), np.float64(-9.517), np.float64(-9.281), np.float64(-9.148), np.float64(-9.147), np.float64(-8.877), np.float64(-8.848), np.float64(-8.76), np.float64(-8.53), np.float64(-8.478), np.float64(-8.428), np.float64(-8.085), np.float64(-7.97), np.float64(-7.9)]",results/docked_poses/VKORC1_Human/RL_Gen_39_VKORC1_Human_docked.pdbqt,True,,39.340831995010376
RL_Gen_44,VKORC1_Human,-10.816,"[np.float64(-10.816), np.float64(-9.82), np.float64(-9.459), np.float64(-9.385), np.float64(-9.306), np.float64(-9.048), np.float64(-9.001), np.float64(-8.722), np.float64(-8.693), np.float64(-8.438), np.float64(-8.223), np.float64(-7.981), np.float64(-7.866)]",results/docked_poses/VKORC1_Human/RL_Gen_44_VKORC1_Human_docked.pdbqt,True,,81.18626475334167
RL_Gen_37_isoA,VKORC1_Human,-10.702,"[np.float64(-10.702), np.float64(-10.225), np.float64(-9.728), np.float64(-9.714), np.float64(-9.134), np.float64(-8.926), np.float64(-8.742), np.float64(-7.789), np.float64(-7.756)]",results/docked_poses/VKORC1_Human/RL_Gen_37_isoA_VKORC1_Human_docked.pdbqt,True,,53.53579998016357
RL_Gen_29_isoD,VKORC1_Human,-10.667,"[np.float64(-10.667), np.float64(-10.61), np.float64(-10.458), np.float64(-10.413), np.float64(-10.277), np.float64(-10.245), np.float64(-10.188), np.float64(-10.137), np.float64(-10.07), np.float64(-10.022), np.float64(-9.976), np.float64(-9.975), np.float64(-9.952), np.float64(-9.864), np.float64(-9.635), np.float64(-9.62), np.float64(-9.571), np.float64(-9.57), np.float64(-9.502), np.float64(-9.464)]",results/docked_poses/VKORC1_Human/RL_Gen_29_isoD_VKORC1_Human_docked.pdbqt,True,,45.93602538108826
RL_Gen_50,VKORC1_Human,-10.603,"[np.float64(-10.603), np.float64(-10.365), np.float64(-9.78), np.float64(-9.662), np.float64(-9.38), np.float64(-9.37), np.float64(-9.304), np.float64(-9.161), np.float64(-9.113), np.float64(-9.06), np.float64(-9.06), np.float64(-8.972), np.float64(-8.898), np.float64(-8.847), np.float64(-8.757), np.float64(-8.637), np.float64(-8.619), np.float64(-8.42), np.float64(-8.244), np.float64(-8.234)]",results/docked_poses/VKORC1_Human/RL_Gen_50_VKORC1_Human_docked.pdbqt,True,,24.475223064422607
RL_Gen_27,VKORC1_Human,-10.593,"[np.float64(-10.593), np.float64(-9.26), np.float64(-9.055), np.float64(-9.029), np.float64(-8.932), np.float64(-8.92), np.float64(-8.871), np.float64(-8.861), np.float64(-8.73), np.float64(-8.526), np.float64(-8.397), np.float64(-8.37), np.float64(-8.366), np.float64(-8.187), np.float64(-8.14), np.float64(-7.887), np.float64(-7.712), np.float64(-7.699), np.float64(-7.668)]",results/docked_poses/VKORC1_Human/RL_Gen_27_VKORC1_Human_docked.pdbqt,True,,12.635519742965698
BENZ_S,VKORC1_Human,-10.532,"[-10.532, -10.291, -10.187, -9.542, -9.323, -9.091, -9.079, -8.937, -8.9]",results/docked_poses/VKORC1_Human/BENZ_S_VKORC1_Human_docked.pdbqt,True,,19.274588346481323
RL_Gen_29_isoC,VKORC1_Human,-10.528,"[np.float64(-10.528), np.float64(-10.511), np.float64(-10.437), np.float64(-10.344), np.float64(-10.331), np.float64(-10.281), np.float64(-10.185), np.float64(-10.168), np.float64(-10.138), np.float64(-10.045), np.float64(-9.884), np.float64(-9.861), np.float64(-9.615), np.float64(-9.556), np.float64(-9.505), np.float64(-9.472), np.float64(-9.414), np.float64(-9.411), np.float64(-9.398), np.float64(-9.252)]",results/docked_poses/VKORC1_Human/RL_Gen_29_isoC_VKORC1_Human_docked.pdbqt,True,,37.77875471115112
RL_Gen_32,VKORC1_Human,-10.255,"[np.float64(-10.255), np.float64(-9.503), np.float64(-9.307), np.float64(-9.214), np.float64(-9.187), np.float64(-9.109), np.float64(-9.072), np.float64(-8.995), np.float64(-8.979), np.float64(-8.836), np.float64(-8.814), np.float64(-8.542), np.float64(-8.518), np.float64(-8.454), np.float64(-8.452), np.float64(-8.427), np.float64(-8.191), np.float64(-8.083), np.float64(-8.026), np.float64(-8.02)]",results/docked_poses/VKORC1_Human/RL_Gen_32_VKORC1_Human_docked.pdbqt,True,,18.375427961349487
