Name,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,BBB_Penetrant,GI_Absorption,Egan_Pass,Lipinski,SMILES
AI_Lead_01,233.4,3.831,0,1,3.24,1,0.6651,No,High,True,True,
AI_Lead_02,289.51,5.246,0,1,3.24,2,0.6712,No,High,True,False,
AI_Lead_03,140.23,1.139,1,2,15.27,2,0.6185,Yes,High,True,True,
AI_Lead_04,166.22,1.341,0,2,21.76,0,0.5065,Yes,High,True,True,
AI_Lead_05,140.23,0.444,1,2,15.27,0,0.5251,Yes,High,True,True,
AI_Lead_06,140.23,0.3,1,2,15.27,1,0.5633,Yes,High,True,True,
AI_Lead_07,331.59,5.889,1,1,12.03,2,0.665,No,High,False,False,
AI_Lead_08,282.43,1.803,0,4,24.94,4,0.7849,Yes,High,True,True,
AI_Lead_09,334.59,6.706,0,1,9.23,3,0.5573,No,High,False,False,
AI_Lead_10,213.32,1.918,1,3,30.49,2,0.7599,Yes,High,True,True,
AI_Lead_11,154.25,2.194,1,1,20.23,0,0.5668,Yes,High,True,True,
AI_Lead_12,372.59,5.333,2,2,40.46,0,0.564,No,High,True,False,
AI_Lead_13,170.34,4.927,0,0,0.0,9,0.4305,No,High,True,True,
AI_Lead_14,212.34,0.977,2,3,35.5,5,0.6668,Yes,High,True,True,
AI_Lead_15,348.48,2.531,2,4,62.22,1,0.5646,Yes,High,True,True,
AI_Lead_16,471.73,5.367,2,4,61.86,2,0.5319,No,High,True,False,
AI_Lead_17,164.25,2.114,1,1,20.23,0,0.5436,Yes,High,True,True,
AI_Lead_18,300.53,4.434,0,3,15.71,12,0.4957,No,Low,True,True,
AI_Lead_19,412.7,8.233,1,1,20.23,4,0.4609,No,High,False,False,
AI_Lead_20,720.27,15.19,1,1,29.1,20,0.0985,No,Low,False,False,
Scaffold_Hop_01,233.4,3.831,0,1,3.24,1,0.6651,No,High,True,True,
Scaffold_Hop_02,289.51,5.246,0,1,3.24,2,0.6712,No,High,True,False,
Scaffold_Hop_03,140.23,1.139,1,2,15.27,2,0.6185,Yes,High,True,True,
Scaffold_Hop_04,166.22,1.341,0,2,21.76,0,0.5065,Yes,High,True,True,
Scaffold_Hop_05,140.23,0.444,1,2,15.27,0,0.5251,Yes,High,True,True,
Scaffold_Hop_06,140.23,0.3,1,2,15.27,1,0.5633,Yes,High,True,True,
Scaffold_Hop_07,331.59,5.889,1,1,12.03,2,0.665,No,High,False,False,
Scaffold_Hop_08,282.43,1.803,0,4,24.94,4,0.7849,Yes,High,True,True,
Scaffold_Hop_09,334.59,6.706,0,1,9.23,3,0.5573,No,High,False,False,
Scaffold_Hop_10,213.32,1.918,1,3,30.49,2,0.7599,Yes,High,True,True,
Scaffold_Hop_11,154.25,2.194,1,1,20.23,0,0.5668,Yes,High,True,True,
Scaffold_Hop_12,372.59,5.333,2,2,40.46,0,0.564,No,High,True,False,
Scaffold_Hop_13,170.34,4.927,0,0,0.0,9,0.4305,No,High,True,True,
Scaffold_Hop_14,212.34,0.977,2,3,35.5,5,0.6668,Yes,High,True,True,
Scaffold_Hop_15,348.48,2.531,2,4,62.22,1,0.5646,Yes,High,True,True,
Scaffold_Hop_16,471.73,5.367,2,4,61.86,2,0.5319,No,High,True,False,
Scaffold_Hop_17,164.25,2.114,1,1,20.23,0,0.5436,Yes,High,True,True,
Scaffold_Hop_18,300.53,4.434,0,3,15.71,12,0.4957,No,Low,True,True,
Scaffold_Hop_19,412.7,8.233,1,1,20.23,4,0.4609,No,High,False,False,
Scaffold_Hop_20,720.27,15.19,1,1,29.1,20,0.0985,No,Low,False,False,
RL_Gen_01,293.95,2.565,1,2,41.99,1,0.8088,Yes,High,True,True,
RL_Gen_02,181.98,1.766,0,1,26.94,0,0.3408,Yes,High,True,True,
RL_Gen_03,412.86,3.996,3,1,68.88,2,0.6976,No,High,True,True,
RL_Gen_04,378.93,3.459,1,1,20.23,1,0.6927,No,High,True,True,
RL_Gen_05,180.14,-2.912,0,4,84.14,3,0.4665,Yes,High,True,True,
RL_Gen_06,147.2,1.003,0,0,8.81,0,0.4915,Yes,High,True,True,
RL_Gen_07,403.14,3.663,0,3,70.95,2,0.3726,No,High,True,True,
RL_Gen_08,263.51,3.071,0,1,31.87,1,0.5746,No,High,True,True,
RL_Gen_09,235.1,1.853,0,2,34.14,1,0.7439,Yes,High,True,True,
RL_Gen_10,394.89,5.136,0,1,9.23,1,0.6507,No,High,True,False,
RL_Gen_11,290.45,2.425,0,3,24.3,3,0.8543,Yes,High,True,True,
RL_Gen_12,238.42,2.984,0,2,6.48,4,0.7427,Yes,High,True,True,
RL_Gen_13,283.42,3.508,1,3,27.63,3,0.919,No,High,True,True,
RL_Gen_14,290.38,2.774,0,2,23.55,1,0.7938,Yes,High,True,True,
RL_Gen_15,342.51,3.708,0,3,23.55,2,0.6046,No,High,True,True,
RL_Gen_16,316.45,1.762,1,4,48.47,4,0.9195,Yes,High,True,True,
RL_Gen_17,195.31,2.229,0,2,12.47,4,0.6818,Yes,High,True,True,
