ligand_name,affinity_training_kcal_mol,affinity_redock_kcal_mol,delta_kcal_mol,category
S_Warfarin_ref,-10.924,-10.891,0.033,reference
R_Warfarin_ref,-11.294,-11.276,0.018,reference
BENZ_S,-10.532,-10.501,0.031,reference
BENZ_R,-11.231,-11.198,0.033,reference
p_nitro_S,-11.768,-11.742,0.026,reference
p_nitro_R,-12.123,-12.091,0.032,reference
RL_Gen_37,-12.244,-12.198,0.045999999999999375,RL_Gen
RL_Gen_22,-11.545,-11.512,0.032999999999999474,RL_Gen
RL_Gen_29,-10.969,-10.921,0.04800000000000004,RL_Gen
RL_Gen_07,-10.921,-10.884,0.036999999999999034,RL_Gen
RL_Gen_26,-10.902,-10.847,0.054999999999999716,RL_Gen
RL_Gen_31,-9.318,-9.662,0.3440000000000012,RL_Gen
RL_Gen_15,-9.024,-8.801,0.22299999999999898,RL_Gen
RL_Gen_03,-7.504,-7.691,0.18700000000000028,RL_Gen
