ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds,run_label,seed,is_active
active_acenocoumarol,VKORC1_Human,-11.764,"[-11.764, -11.061, -10.357, -10.33, -9.886]",active_acenocoumarol_VKORC1_Human_docked.pdbqt,True,,31.913671493530277,enrichment_seed42,42,1
active_coumachlor,VKORC1_Human,-11.65,"[-11.65, -10.771, -10.543, -9.957, -9.676, -8.805]",active_coumachlor_VKORC1_Human_docked.pdbqt,True,,32.00302600860596,enrichment_seed42,42,1
active_tioclomarol,VKORC1_Human,-11.463,"[-11.463, -10.81, -10.499, -10.375, -10.146, -9.988, -9.922, -9.776, -9.482]",active_tioclomarol_VKORC1_Human_docked.pdbqt,True,,30.010501861572266,enrichment_seed42,42,1
active_phenprocoumon,VKORC1_Human,-11.378,"[-11.378, -11.165, -11.076, -10.738, -10.591, -10.301, -10.104, -9.858, -9.581]",active_phenprocoumon_VKORC1_Human_docked.pdbqt,True,,30.67116355895996,enrichment_seed42,42,1
active_R_warfarin,VKORC1_Human,-11.294,"[-11.294, -10.229, -10.02, -9.969, -9.749, -9.553, -9.545, -9.483, -9.417]",active_R_warfarin_VKORC1_Human_docked.pdbqt,True,,21.97276616096497,enrichment_seed42,42,1
active_dicumarol,VKORC1_Human,-11.033,"[-11.033, -10.876, -10.497, -9.633, -9.544, -9.354, -9.333, -9.204, -8.658]",active_dicumarol_VKORC1_Human_docked.pdbqt,True,,17.18126082420349,enrichment_seed42,42,1
active_S_warfarin,VKORC1_Human,-10.924,"[-10.924, -10.654, -10.072, -9.896, -9.84, -9.664, -9.353, -9.345, -9.31]",active_S_warfarin_VKORC1_Human_docked.pdbqt,True,,22.778132438659668,enrichment_seed42,42,1
active_brodifacoum,VKORC1_Human,-9.319,"[-9.319, -8.258, -7.23, -6.438]",active_brodifacoum_VKORC1_Human_docked.pdbqt,True,,75.84718728065491,enrichment_seed42,42,1
active_fluindione,VKORC1_Human,-9.109,"[-9.109, -8.948, -8.859, -8.806, -8.797, -8.561, -8.485, -8.473, -8.357]",active_fluindione_VKORC1_Human_docked.pdbqt,True,,11.62265157699585,enrichment_seed42,42,1
decoy_002,VKORC1_Human,-8.295,"[-8.295, -8.266, -8.221, -8.013, -7.95, -7.933, -7.769, -7.769, -7.554]",decoy_002_VKORC1_Human_docked.pdbqt,True,,15.144281387329102,enrichment_seed42,42,0
decoy_016,VKORC1_Human,-8.291,"[-8.291, -8.285, -8.233, -8.108, -7.925, -7.535, -7.267, -7.263]",decoy_016_VKORC1_Human_docked.pdbqt,True,,13.074159860610962,enrichment_seed42,42,0
decoy_007,VKORC1_Human,-8.269,"[-8.269, -8.255, -8.231, -7.852, -7.814, -7.703, -7.691, -7.58, -7.488]",decoy_007_VKORC1_Human_docked.pdbqt,True,,11.976181983947754,enrichment_seed42,42,0
