ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds,run_label,seed
p_nitro_R,VKORC1_Human,-12.092,"[-12.092, -11.134, -10.926, -10.22, -10.081, -9.896, -9.89, -9.612]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.37088251113892,seed_1,1
p_nitro_S,VKORC1_Human,-11.748,"[-11.748, -11.549, -11.355, -10.519, -10.412, -10.227, -9.995, -9.319, -9.174]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.881475687026978,seed_1,1
R_Warfarin_ref,VKORC1_Human,-11.281,"[-11.281, -10.184, -10.051, -9.979, -9.781, -9.6, -9.512, -9.512, -9.385]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,25.263411045074463,seed_1,1
S_Warfarin_ref,VKORC1_Human,-10.95,"[-10.95, -10.696, -10.15, -9.9, -9.879, -9.649, -9.41, -9.284, -9.146]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.696574211120605,seed_1,1
p_nitro_R,VKORC1_Human,-12.123,"[-12.123, -11.086, -10.962, -10.93, -10.372, -10.24, -10.078, -9.871, -9.83]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.28556966781616,seed_42,42
p_nitro_S,VKORC1_Human,-11.768,"[-11.768, -11.587, -11.336, -10.395, -10.276, -10.116, -10.05, -9.891, -9.334]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.41840624809265,seed_42,42
R_Warfarin_ref,VKORC1_Human,-11.294,"[-11.294, -10.229, -10.02, -9.969, -9.749, -9.553, -9.545, -9.483, -9.417]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.63952612876892,seed_42,42
S_Warfarin_ref,VKORC1_Human,-10.924,"[-10.924, -10.654, -10.072, -9.896, -9.84, -9.664, -9.353, -9.345, -9.31]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,25.253233432769772,seed_42,42
p_nitro_R,VKORC1_Human,-12.129,"[-12.129, -11.199, -11.161, -10.973, -10.236, -10.071, -9.983, -9.716, -9.678]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.60787057876587,seed_123,123
p_nitro_S,VKORC1_Human,-11.746,"[-11.746, -11.582, -11.359, -10.53, -10.417, -10.189, -9.297, -9.131, -9.002]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.67635202407837,seed_123,123
R_Warfarin_ref,VKORC1_Human,-11.294,"[-11.294, -10.212, -10.049, -9.963, -9.653, -9.618, -9.445, -9.29, -9.181]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.63209629058838,seed_123,123
S_Warfarin_ref,VKORC1_Human,-10.945,"[-10.945, -10.68, -10.04, -9.882, -9.791, -9.686, -9.385, -9.365, -9.362]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.46602725982666,seed_123,123
p_nitro_R,VKORC1_Human,-12.134,"[-12.134, -11.092, -10.976, -10.443, -10.31, -9.934, -9.901, -9.698]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.716705560684204,seed_456,456
p_nitro_S,VKORC1_Human,-11.748,"[-11.748, -11.569, -11.358, -10.477, -10.432, -10.222, -10.08, -9.878, -9.686]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.839056491851807,seed_456,456
R_Warfarin_ref,VKORC1_Human,-11.293,"[-11.293, -10.249, -10.031, -9.99, -9.797, -9.581, -9.559, -9.482, -9.258]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,25.10460901260376,seed_456,456
S_Warfarin_ref,VKORC1_Human,-10.942,"[-10.942, -10.654, -10.159, -9.838, -9.655, -9.335, -9.186, -9.152, -9.057]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.605000019073486,seed_456,456
p_nitro_R,VKORC1_Human,-12.15,"[-12.15, -11.075, -10.932, -10.891, -10.428, -10.178, -10.061, -9.88, -9.797]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.364548683166504,seed_789,789
p_nitro_S,VKORC1_Human,-11.76,"[-11.76, -11.572, -11.384, -10.523, -10.371, -10.228, -10.072, -9.9, -9.709]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.508363723754883,seed_789,789
R_Warfarin_ref,VKORC1_Human,-11.29,"[-11.29, -10.091, -9.983, -9.962, -9.712, -9.526, -9.455, -9.375, -9.21]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.68551778793335,seed_789,789
S_Warfarin_ref,VKORC1_Human,-10.96,"[-10.96, -10.681, -10.136, -10.001, -9.84, -9.734, -9.395, -9.379, -9.267]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.50043153762817,seed_789,789
p_nitro_R,VKORC1_Human,-12.094,"[-12.094, -11.105, -10.919, -10.205, -9.983, -9.863, -9.788, -9.663]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,31.63406467437744,seed_999,999
p_nitro_S,VKORC1_Human,-11.773,"[-11.773, -11.573, -11.37, -10.552, -10.446, -10.24, -10.067, -9.884, -9.623]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.99086689949036,seed_999,999
R_Warfarin_ref,VKORC1_Human,-11.294,"[-11.294, -10.228, -10.033, -9.966, -9.791, -9.555, -9.505, -9.288, -9.182]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.505791902542114,seed_999,999
S_Warfarin_ref,VKORC1_Human,-10.943,"[-10.943, -10.648, -10.129, -9.977, -9.853, -9.678, -9.339, -9.302, -9.229]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.356797218322757,seed_999,999
p_nitro_R,VKORC1_Human,-12.132,"[-12.132, -11.191, -10.969, -10.492, -10.251, -10.045, -9.898, -9.817, -9.683]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.262474060058597,seed_2024,2024
p_nitro_S,VKORC1_Human,-11.774,"[-11.774, -11.541, -11.342, -10.486, -10.478, -10.144, -9.782, -9.729, -9.34]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,29.167763471603397,seed_2024,2024
R_Warfarin_ref,VKORC1_Human,-11.293,"[-11.293, -10.238, -10.006, -9.983, -9.758, -9.665, -9.492, -9.411, -9.073]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.72054934501648,seed_2024,2024
S_Warfarin_ref,VKORC1_Human,-10.92,"[-10.92, -10.638, -10.124, -9.973, -9.84, -9.613, -9.326, -9.271, -9.269]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,28.754902839660645,seed_2024,2024
p_nitro_R,VKORC1_Human,-12.159,"[-12.159, -11.151, -11.021, -10.886, -10.471, -10.23, -10.074, -9.875, -9.676]",p_nitro_R_VKORC1_Human_docked.pdbqt,True,,29.578205108642575,seed_31415,31415
p_nitro_S,VKORC1_Human,-11.777,"[-11.777, -11.567, -11.34, -10.451, -10.429, -10.198, -10.051, -9.789, -9.762]",p_nitro_S_VKORC1_Human_docked.pdbqt,True,,30.260130405426025,seed_31415,31415
R_Warfarin_ref,VKORC1_Human,-11.304,"[-11.304, -10.198, -10.008, -9.976, -9.68, -9.563, -9.508, -9.236, -8.855]",R_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.7703640460968,seed_31415,31415
S_Warfarin_ref,VKORC1_Human,-10.948,"[-10.948, -10.672, -10.035, -9.813, -9.712, -9.374, -9.271, -9.182, -9.129]",S_Warfarin_ref_VKORC1_Human_docked.pdbqt,True,,24.73908019065857,seed_31415,31415
