Ligand,dG_kcal_mol,pXC50_Vina_derived,success,runtime_s
RL_Gen_37,-12.244,9.003,True,23.956362009048465
RL_Gen_22,-11.545,8.489,True,40.33030438423157
RL_Gen_29_isoA,-11.419,8.396,True,38.14039421081543
RL_Gen_45,-11.395,8.379,True,76.2542724609375
RL_Gen_49,-11.239,8.264,True,26.892582416534424
RL_Gen_29_isoB,-11.069,8.139,True,38.56108236312866
RL_Gen_29,-10.969,8.065,True,27.82236862182617
RL_Gen_07,-10.921,8.03,True,17.479965448379517
RL_Gen_26,-10.902,8.016,True,16.193256616592407
RL_Gen_39,-10.823,7.958,True,39.340831995010376
RL_Gen_44,-10.816,7.953,True,81.18626475334167
RL_Gen_37_isoA,-10.702,7.869,True,53.53579998016357
RL_Gen_29_isoD,-10.667,7.843,True,45.93602538108826
RL_Gen_50,-10.603,7.796,True,24.475223064422607
RL_Gen_27,-10.593,7.789,True,12.635519742965698
RL_Gen_29_isoC,-10.528,7.741,True,37.77875471115112
RL_Gen_32,-10.255,7.54,True,18.375427961349487
RL_Gen_19,-10.034,7.378,True,9.913822412490845
RL_Gen_47,-9.988,7.344,True,27.43193006515503
RL_Gen_41,-9.912,7.288,True,35.741458892822266
RL_Gen_37_isoB,-9.751,7.17,True,50.17654180526733
RL_Gen_16,-9.662,7.104,True,12.56834602355957
RL_Gen_14,-9.657,7.101,True,9.724585056304932
RL_Gen_18,-9.554,7.025,True,13.09689736366272
RL_Gen_46,-9.534,7.01,True,36.73644733428955
RL_Gen_31,-9.318,6.851,True,15.175451040267944
RL_Gen_13,-9.202,6.766,True,10.379685640335085
RL_Gen_24,-9.113,6.701,True,8.669312477111816
RL_Gen_23,-9.032,6.641,True,14.691379070281982
RL_Gen_25,-9.029,6.639,True,6.146874904632568
RL_Gen_15,-9.024,6.635,True,13.496968507766724
RL_Gen_34,-8.921,6.56,True,12.411978721618652
RL_Gen_43,-8.884,6.532,True,63.95567679405213
RL_Gen_35,-8.876,6.526,True,13.7046058177948
RL_Gen_48,-8.833,6.495,True,30.42763376235962
RL_Gen_20,-8.764,6.444,True,25.97869038581848
RL_Gen_11,-8.641,6.354,True,11.166956663131714
RL_Gen_08,-8.519,6.264,True,8.881060600280762
RL_Gen_40,-8.377,6.16,True,16.917076587677002
RL_Gen_36,-8.334,6.128,True,20.65762090682984
RL_Gen_21,-8.307,6.108,True,17.883971452713013
RL_Gen_28,-8.102,5.957,True,13.610492706298828
RL_Gen_03,-7.504,5.518,True,11.209702968597412
RL_Gen_12,-7.374,5.422,True,8.030030488967896
RL_Gen_10,-7.293,5.362,True,8.392061948776245
RL_Gen_30,-7.264,5.341,True,8.752542734146118
RL_Gen_33,-7.098,5.219,True,15.010334491729736
RL_Gen_05,-6.619,4.867,True,8.048973083496094
RL_Gen_17,-6.511,4.788,True,7.108442068099976
RL_Gen_09,-6.436,4.732,True,6.629866361618042
RL_Gen_01,-6.326,4.651,True,8.524908065795898
RL_Gen_42,-6.3,4.632,True,13.066319704055786
RL_Gen_04,-6.102,4.487,True,7.727430820465088
RL_Gen_02,-6.057,4.454,True,6.084025144577026
RL_Gen_06,-5.58,4.103,True,5.514686584472656
